2022/08/17;07:57;20.123.456-7
2022/08/17;08:00;21.024.191-4
2022/08/17;08:00;22.223.596-3
2022/08/17;08:20;21.014.566-4
2022/08/17;18:00;21.024.191-4
2022/08/17;18:00;21.014.566-4
2022/08/17;18:00;20.123.456-7
2022/08/17;18:00;22.223.596-3
2022/08/18;08:00;21.024.191-4
2022/08/18;08:10;21.014.566-4
2022/08/18;08:03;20.123.456-7
2022/08/18;08:05;22.223.596-3
2022/08/18;18:00;21.024.191-4
2022/08/18;18:00;21.014.566-4
2022/08/18;18:00;20.123.456-7
2022/08/18;18:00;22.223.596-3
2022/08/19;07:55;20.123.456-7
2022/08/19;08:00;21.024.191-4
2022/08/19;08:01;22.223.596-3
2022/08/19;08:10;21.014.566-4
2022/08/19;18:00;21.024.191-4
2022/08/19;18:00;21.014.566-4
2022/08/19;18:00;20.123.456-7
2022/08/19;18:00;22.223.596-3
2022/08/20;07:57;20.123.456-7
2022/08/20;08:00;21.024.191-4
2022/08/20;08:00;22.223.596-3
2022/08/20;08:00;21.014.566-4
2022/08/20;18:00;21.024.191-4
2022/08/20;18:00;21.014.566-4
2022/08/20;18:00;20.123.456-7
2022/08/20;18:00;22.223.596-3
2022/08/21;10:57;20.123.456-7
2022/08/21;08:00;22.223.596-3
2022/08/21;08:30;21.014.566-4
2022/08/21;18:00;21.014.566-4
2022/08/21;18:00;20.123.456-7
2022/08/21;18:00;22.223.596-3
